Donations Report,,,,,,,,,,,,,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
Charity Name,OLIVESEED FOUNDATION,,,,,,,,,,,,,,,,,,,,,
Charity ID,840-821693564,,,,,,,,,,,,,,,,,,,,,
Period Ending,Fri 1 Sep 2023 0:00:00,,,,,,,,,,,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,,,,,,,,,,
Payment Method,EFT,,,,,,,,,,,,,,,,,,,,,
Disbursement ID,B19TDDNXGX,,,,,,,,,,,,,,,,,,,,,
Note,Rounding may be applied to some values in this report. Learn more at https://causes.benevity.org/feedback-support,,,,,,,,,,,,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Company,Project,Donation Date,Donor First Name,Donor Last Name,Email,Address,City,State/Province,Postal Code,Activity,Comment,Transaction ID,Donation Frequency,Currency,Project Remote ID,Source,Reason,Total Donation to be Acknowledged,Match Amount,Cause Support Fee,Merchant Fee,Fee Comment
Company 1,OLIVESEED FOUNDATION,2023-07-06T19:32:49Z,Donor 1,Donor 2,Email 1,Address 1,Mountain View,CA,94041,,Comment 1,4N0RZ3DEEV,One Time,USD,,BlueSnap,User Donation,100,100,0,0,Comment 2
Totals,,,,,,,,,,,,,,,,,,100,100,0,0,
Total Donations (Gross),200,,,,,,,,,,,,,,,,,,,,,
Check Fee,0,,,,,,,,,,,,,,,,,,,,,
Net Total Payment,200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
August 2023 Report,,,,,,,,,,,,,,,,,,,,,,
Recorded 10/22/23,,,,,,,,,,,,,,,,,,,,,,
