Donations Report,
#-------------------------------------------,
Charity Name,OLIVESEED FOUNDATION
Charity ID,840-821693564
Period Ending,Fri 16 May 2025 0:00:00
Currency,USD
Payment Method,EFT
Disbursement ID,G3XA2QUEAP
Note,Rounding may be applied to some values in this report. Learn more at https://causes.benevity.org/feedback-support
#-------------------------------------------,

Company,Project,Donation Date,Donor First Name,Donor Last Name,Email,Address,City,State/Province,Postal Code,Activity,Comment,Transaction ID,Donation Frequency,Currency,Project Remote ID,Source,Reason,Total Donation to be Acknowledged,Match Amount,Cause Support Fee,Merchant Fee,Fee Comment
Company 2,Oliveseed Women's Work Center: Empowering Maasai Women Through Micro-Enterprise,2025-04-01T18:25:59Z,Donor 3,Donor 4,Email 2,Address 2,Not shared by donor,Not shared by donor,98106,,Comment 3,6CJ3G8V12M,One Time,USD,4775316339971bb6498,My Rewards,User Donation,55.00,0.00,1.60,0.00,Comment 4
Totals,,,,,,,,,,,,,,,,,,55.00,0.00,1.60,0.00
Total Donations (Gross),55.00
Check Fee,0.00
Net Total Payment,53.40
