Name,Donating Company,Donor's First Name,Donor's Last Name,Donor Email,Make Donation Anonymous,Campaign,Amount,Fair Market Value,Fair Market Value Description,Tax Deductible Amount,Currency,Amount in USD,Processing Fee,Platform Fee,Tax Fee,Total Fee,Net Amount,Converted Net Amount,Net amount in USD,Fee Covered,Donor Comment,Internal Notes,Donated At,Phone,Address,Address 2,City,State / Province,Postal Code,Country,Employer,Occupation,Designation,Receipt Id,Donation Type,Card Type,Last 4 Digits,Stripe Charge Id,Pay Pal Transaction Id,Pay Pal Capture Id,Recurring Donation,Recurring Plan Id,Recurring Start Date,Join Mailing List,Dedication Type,Honoree Name,Recipient Name,Recipient Email,Recipient Address,Recipient Message,First Donation,Fundraiser,Donor Id,Status,Would you like to receive occasional updates from us? You can unsubscribe at any time.
Name 1,Company 1,Name 2,Name 3,Email 1,no,OliveSeed Monthly Giving,41.72,0.00,,41.72,USD,41.72,1.22,0.63,,1.85,39.87,39.87,39.87,yes,Comment 1,,01/07/23 08:22:23,,Address 1,Address 2,Menlo Park,CA,94025,United States,,,,27810259,stripe,visa,4902,ch_3MNfA4LpAglNISLQ1N3KxkWK,,,yes,525934,2021-06-07,yes,,Name 4,Name 5,Email 2,Address 3,,,,4848629,paid,
Name 6,Company 2,Name 7,Name 8,Email 3,no,Kenya School Projects,10.00,0.00,,10.00,USD,10.00,0.62,0.15,,0.77,9.23,9.23,9.23,no,Comment 2,,01/10/23 08:29:10,,Address 4,Address 5,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,27881517,stripe,mastercard,0994,ch_3MOkhGLpAglNISLQ1JB2uesH,,,yes,544437,2021-07-10,no,,Name 9,Name 10,Email 4,Address 6,,,,3320835,paid,yes
Name 11,Company 3,Name 12,Name 13,Email 5,no,OliveSeed Monthly Giving,5.49,0.00,,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Comment 3,,01/16/23 03:07:38,,Address 7,Address 8,West Tisbury,MA,02568,United States,,,,28001298,paypal,,,,9C695532NL042133J,,yes,385997,2020-12-16,yes,,Name 14,Name 15,Email 6,Address 9,,,,3759057,paid,
Name 16,Company 4,Name 17,Name 18,Email 7,no,Oliveseed,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 4,,01/18/23 08:13:24,,Address 10,Address 11,,,,,,,Area of greatest need,28050760,stripe,visa,2171,ch_3MReGPLpAglNISLQ0kaElyNa,,,yes,240611,2020-05-18,no,,Name 19,Name 20,Email 8,Address 12,,,,1261311,paid,
Name 21,Company 5,Name 22,Name 23,Email 9,no,Oliveseed,103.62,0.00,,103.62,USD,103.62,2.58,1.55,,4.13,99.49,99.49,99.49,no,Comment 5,,01/23/23 08:33:57,,Address 13,Address 14,,,,,,,,28162832,stripe,visa,1435,ch_3MTSy2LpAglNISLQ1sRoMVlS,,,yes,66328,2018-10-22,yes,,Name 24,Name 25,Email 10,Address 15,,,,848386,paid,
Name 26,Company 6,Name 27,Name 28,Email 11,no,Morocco Library Project,322.67,0.00,,322.67,USD,322.67,7.4,4.84,,12.24,310.43,310.43,310.43,no,Comment 6,,01/27/23 05:14:09,,Address 16,Address 17,,,,,,,,28250698,stripe,mastercard,5491,ch_3MUrksLpAglNISLQ0tLI70AY,,,no,,,no,,Name 29,Name 30,Email 12,Address 18,,yes,,8217386,paid,
Name 31,Company 7,Name 32,Name 33,Email 13,no,Morocco Library Project,100.00,0.00,,100.00,USD,100.00,2.48,1.50,,3.98,96.02,,96.02,no,Comment 7,,01/29/23 15:58:41,,Address 19,Address 20,,,,,,,,28314199,paypal_express,,,,20227125GM422720P,7AS22987EA672454C,no,,,yes,,Name 34,Name 35,Email 14,Address 21,,yes,,8228854,paid,
Name 36,Company 8,Name 37,Name 38,Email 15,no,Oliveseed General Campaign,831.05,0.00,,831.05,USD,831.05,18.58,12.47,,31.05,800.00,800.00,800.00,yes,Comment 8,,01/31/23 01:00:42,,Address 22,Address 23,Palo Alto,CA,94306,United States,,,,28342582,stripe,visa,6225,ch_3MWFhmLpAglNISLQ01RddXxc,,,no,,,no,,Name 39,Name 40,Email 16,Address 24,,,,764239,paid,
Name 41,Company 9,Name 42,Name 43,Email 17,no,Oliveseed General Campaign,727.21,0.00,,727.21,USD,727.21,16.3,10.91,,27.21,700.00,700.00,700.00,yes,Comment 9,,02/02/23 14:25:32,,Address 25,Address 26,Redwood City,CA,94063,United States,,,,28422947,stripe,visa,6599,ch_3MXBDnLpAglNISLQ1YesBtP9,,,no,,,yes,In honor of,Name 44,Name 45,Email 18,Address 27,Tution,,,833946,paid,
Name 46,Company 10,Name 47,Name 48,Email 19,no,Oliveseed General Campaign,571.44,0.00,,571.44,USD,571.44,12.87,8.57,,21.44,550.00,550.00,550.00,yes,Comment 10,,02/06/23 23:48:42,,Address 28,Address 29,,,,Kenya,,,,28522353,stripe,visa,3708,ch_3MYluxLpAglNISLQ1KgxCgpG,,,no,,,yes,,Name 49,Name 50,Email 20,Address 30,,yes,,8275336,paid,
Name 51,Company 11,Name 52,Name 53,Email 21,no,OliveSeed Monthly Giving,41.72,0.00,,41.72,USD,41.72,1.22,0.63,,1.85,39.87,39.87,39.87,yes,Comment 11,,02/07/23 08:30:31,,Address 31,Address 32,Menlo Park,CA,94025,United States,,,,28534316,stripe,visa,4902,ch_3MYu3vLpAglNISLQ15ErwjT5,,,yes,525934,2021-06-07,yes,,Name 54,Name 55,Email 22,Address 33,,,,4848629,paid,
Name 56,Company 12,Name 57,Name 58,Email 23,no,Oliveseed General Campaign,311.84,0.00,,311.84,USD,311.84,7.16,4.68,,11.84,300.00,300.00,300.00,yes,Comment 12,,02/08/23 11:37:48,,Address 34,Address 35,Redwood City,CA,94063,United States,,,,28569655,stripe,visa,6599,ch_3MZJSjLpAglNISLQ1K2pemZC,,,no,,,yes,,Name 59,Name 60,Email 24,Address 36,,,,833946,paid,
Name 61,Company 13,Name 62,Name 63,Email 25,no,Kenya School Projects,10.00,0.00,,10.00,USD,10.00,0.62,0.15,,0.77,9.23,9.23,9.23,no,Comment 13,,02/10/23 08:30:25,,Address 37,Address 38,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,28616622,stripe,mastercard,0994,ch_3MZzUTLpAglNISLQ0nOoVHTe,,,yes,544437,2021-07-10,no,,Name 64,Name 65,Email 26,Address 39,,,,3320835,paid,yes
Name 66,Company 14,Name 67,Name 68,Email 27,no,OliveSeed Monthly Giving,5.49,0.00,,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Comment 14,,02/16/23 02:24:53,,Address 40,Address 41,West Tisbury,MA,02568,United States,,,,28766885,paypal,,,,4LM36813FT189563E,,yes,385997,2020-12-16,yes,,Name 69,Name 70,Email 28,Address 42,,,,3759057,paid,
Name 71,Company 15,Name 72,Name 73,Email 29,no,Oliveseed,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 15,,02/18/23 08:16:35,,Address 43,Address 44,,,,,,,Area of greatest need,28842696,stripe,visa,2171,ch_3Mct5TLpAglNISLQ0N5G9UqK,,,yes,240611,2020-05-18,no,,Name 74,Name 75,Email 30,Address 45,,,,1261311,paid,
Name 76,Company 16,Name 77,Name 78,Email 31,no,Oliveseed General Campaign,100.00,0.00,,100.00,USD,100.00,2.48,1.50,,3.98,96.02,,96.02,no,Comment 16,,02/21/23 21:34:36,,Address 46,Address 47,Mountain View,CA,94041,United States,,,,28974542,paypal_express,,,,95T969595U904145E,62E662000W410241S,no,,,yes,,Name 79,Name 80,Email 32,Address 48,,,,3121632,paid,
Name 81,Company 17,Name 82,Name 83,Email 33,no,Oliveseed,103.62,0.00,,103.62,USD,103.62,2.58,1.55,,4.13,99.49,99.49,99.49,no,Comment 17,,02/23/23 08:32:43,,Address 49,Address 50,,,,,,,,29035835,stripe,visa,1435,ch_3MehipLpAglNISLQ1ObclXqV,,,yes,66328,2018-10-22,yes,,Name 84,Name 85,Email 34,Address 51,,,,848386,paid,
Name 86,Company 18,Name 87,Name 88,Email 35,no,Oliveseed General Campaign,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 18,,02/25/23 06:41:07,,Address 52,Address 53,New Haven,,05472,United States,,,,29080949,stripe,visa,4223,ch_3MfOvvLpAglNISLQ1YQe2xX6,,,no,,,yes,,Name 89,Name 90,Email 36,Address 54,,,,5014393,paid,
Name 91,Company 19,Name 92,Name 93,Email 37,no,Oliveseed General Campaign,100.00,0.00,,100.00,USD,100.00,2.48,1.50,,3.98,96.02,,96.02,no,Comment 19,,02/25/23 15:27:59,,Address 55,Address 56,Soquel,CA,95073,United States,,,,29098080,paypal_express,,,,6JH58257X3467660J,8AH59643H7951192S,no,,,yes,,Name 94,Name 95,Email 38,Address 57,,,,2216346,paid,
Name 96,Company 20,Name 97,Name 98,Email 39,no,Oliveseed General Campaign,10.00,0.00,,10.00,USD,10.00,0.52,0.15,,0.67,9.33,9.33,9.33,no,Comment 20,,02/26/23 06:37:42,,Address 58,Address 59,Palo Alto,CA,94306,United States,,,,29104627,stripe,visa,6225,ch_3MflMALpAglNISLQ1oAb52iR,,,no,,,yes,,Name 99,Name 100,Email 40,Address 60,,,,764239,paid,
Name 101,Company 21,Name 102,Name 103,Email 41,no,Oliveseed General Campaign,104.15,0.00,,104.15,USD,104.15,2.59,1.56,,4.15,100.00,100.00,100.00,yes,Comment 21,,02/26/23 07:12:38,,Address 61,Address 62,Lafayette,IN,47901,United States,,,,29104951,stripe,visa,5232,ch_3Mflu0LpAglNISLQ0L14afG5,,,no,,,yes,,Name 104,Name 105,Email 42,Address 63,,yes,,8403012,paid,
Name 106,Company 22,Name 107,Name 108,Email 43,no,Oliveseed General Campaign,100.00,0.00,,100.00,USD,100.00,2.5,1.50,,4.00,96.00,96.00,96.00,no,Comment 22,,02/26/23 07:57:35,,Address 64,Address 65,Waukee,IA,50263,United States,,,,29105437,stripe,discover,7653,ch_3MfmbULpAglNISLQ1bnjyPOF,,,no,,,yes,,Name 109,Name 110,Email 44,Address 66,,yes,,8403225,paid,
Name 111,Company 23,Name 112,Name 113,Email 45,no,Oliveseed General Campaign,124.85,0.00,,124.85,USD,124.85,2.97,1.87,,4.84,120.01,,120.01,yes,Comment 23,,02/26/23 11:03:13,,Address 67,Address 68,Redwood City,CA,94061,United States,,,,29119135,paypal_express,,,,4HN26479EN619204J,8PA89001VB966491N,no,,,yes,,Name 114,Name 115,Email 46,Address 69,,yes,,8404272,paid,
Name 116,Company 24,Name 117,Name 118,Email 47,no,Oliveseed General Campaign,41.85,0.00,,41.85,USD,41.85,1.22,0.63,,1.85,40.00,40.00,40.00,yes,Comment 24,,02/26/23 12:46:41,,Address 70,Address 71,San Francisco,CA,94127,United States,,,,29120242,stripe,visa,2321,ch_3Mfr7FLpAglNISLQ1YzLN4lf,,,no,,,yes,,Name 119,Name 120,Email 48,Address 72,,yes,,8404818,paid,
Name 121,Company 25,Name 122,Name 123,Email 49,no,Oliveseed General Campaign,52.23,0.00,,52.23,USD,52.23,1.45,0.78,,2.23,50.00,50.00,50.00,yes,Comment 25,,02/27/23 00:34:05,,Address 73,Address 74,San Francisco,CA,94102,United States,,,,29124097,stripe,visa,1334,ch_3Mg29qLpAglNISLQ1C6rYVfx,,,no,,,yes,,Name 124,Name 125,Email 50,Address 75,,yes,,8406797,paid,
Name 126,Company 26,Name 127,Name 128,Email 51,no,Oliveseed General Campaign,41.85,0.00,,41.85,USD,41.85,1.46,0.63,,2.09,39.76,39.76,39.76,yes,Comment 26,,02/27/23 21:20:07,,Address 76,Address 77,Grass Valley,,95945,United States,,,,29148832,stripe,amex,2000,ch_3MgLbfLpAglNISLQ0TYSHbOD,,,no,,,yes,,Name 129,Name 130,Email 52,Address 78,,yes,,8411756,paid,
Name 131,Company 27,Name 132,Name 133,Email 53,no,Oliveseed General Campaign,100.00,0.00,,100.00,USD,100.00,2.5,1.50,,4.00,96.00,96.00,96.00,no,Comment 27,,02/28/23 15:58:01,,Address 79,Address 80,Palo Alto,CA,94306,United States,,,,29211200,stripe,visa,6198,ch_3Mgd3VLpAglNISLQ0kAYXUI3,,,no,,,no,,Name 134,Name 135,Email 54,Address 81,,yes,,8416554,paid,
Name 136,Company 28,Name 137,Name 138,Email 55,no,OliveSeed Monthly Giving,41.72,0.00,,41.72,USD,41.72,1.22,0.63,,1.85,39.87,39.87,39.87,yes,Comment 28,,03/07/23 08:30:04,,Address 82,Address 83,Menlo Park,CA,94025,United States,,,,29408339,stripe,visa,4902,ch_3Mj3OrLpAglNISLQ1gXt3Hio,,,yes,525934,2021-06-07,yes,,Name 139,Name 140,Email 56,Address 84,,,,4848629,paid,
Name 141,Company 29,Name 142,Name 143,Email 57,no,Kenya School Projects,10.00,0.00,,10.00,USD,10.00,0.62,0.15,,0.77,9.23,9.23,9.23,no,Comment 29,,03/10/23 08:39:03,,Address 85,Address 86,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,29478425,stripe,mastercard,0994,ch_3Mk8yCLpAglNISLQ0PaQ8frA,,,yes,544437,2021-07-10,no,,Name 144,Name 145,Email 58,Address 87,,,,3320835,paid,yes
Name 146,Company 30,Name 147,Name 148,Email 59,no,Oliveseed General Campaign,40.00,0.00,,40.00,USD,40.00,1.29,0.60,,1.89,38.11,,38.11,no,Comment 30,,03/14/23 12:08:01,,Address 88,Address 89,Los Gatos,CA,95032,United States,,,,29571671,paypal_express,,,,8AT2438470312370D,8WP83598125024107,no,,,yes,,Name 149,Name 150,Email 60,Address 90,,,,2215905,paid,
Name 151,Company 31,Name 152,Name 153,Email 61,no,OliveSeed Monthly Giving,5.49,0.00,,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Comment 31,,03/16/23 03:32:41,,Address 91,Address 92,West Tisbury,MA,02568,United States,,,,29603492,paypal,,,,5EX952727M521663S,,yes,385997,2020-12-16,yes,,Name 154,Name 155,Email 62,Address 93,,,,3759057,paid,
Name 156,Company 32,Name 157,Name 158,Email 63,no,Oliveseed,150.00,0.00,,150.00,USD,150.00,3.6,2.25,,5.85,144.15,144.15,144.15,no,Comment 32,,03/18/23 09:13:03,,Address 94,Address 95,,,,,,,Area of greatest need,29662039,stripe,visa,2171,ch_3Mn2NQLpAglNISLQ1DxKgggK,,,yes,240611,2020-05-18,no,,Name 159,Name 160,Email 64,Address 96,,,,1261311,paid,
Name 161,Company 33,Name 162,Name 163,Email 65,no,Oliveseed General Campaign,311.84,0.00,,311.84,USD,311.84,7.16,4.68,,11.84,300.00,300.00,300.00,yes,Comment 33,,03/21/23 10:43:15,,Address 97,Address 98,Alexandria,,22314,United States,,,,29738396,stripe,visa,0443,ch_3Mo9DMLpAglNISLQ0OsvRhVL,,,no,,,yes,,Name 164,Name 165,Email 66,Address 99,,yes,,8530906,paid,
Name 166,Company 34,Name 167,Name 168,Email 67,no,Oliveseed,103.62,0.00,,103.62,USD,103.62,2.58,1.55,,4.13,99.49,99.49,99.49,no,Comment 34,,03/23/23 09:29:39,,Address 100,Address 101,,,,,,,,29783426,stripe,visa,1435,ch_3Mor1DLpAglNISLQ1CtghVTS,,,yes,66328,2018-10-22,yes,,Name 169,Name 170,Email 68,Address 102,,,,848386,paid,
