Name,Donating Company,Donor's First Name,Donor's Last Name,Donor Email,Make Donation Anonymous,Campaign,Amount Description,Amount,Fair Market Value,Fair Market Value Description,Tax Deductible Amount,Currency,Amount in USD,Processing Fee,Platform Fee,Tax Fee,Total Fee,Net Amount,Converted Net Amount,Net amount in USD,Fee Covered,Donor Comment,Internal Notes,Donated At,Phone,Address,Address 2,City,State / Province,Postal Code,Country,Employer,Occupation,Designation,Receipt Id,Donation Type,Card Type,Last 4 Digits,Stripe Charge Id,Pay Pal Transaction Id,Pay Pal Capture Id,Recurring Donation,Recurring Plan Id,Recurring Start Date,Join Mailing List,Dedication Type,Honoree Name,Recipient Name,Recipient Email,Recipient Address,Recipient Message,First Donation,Fundraiser,Donor Id,Status,Would you like to receive occasional updates from us? You can unsubscribe at any time.
Name 349,Company 119,Donor 585,Donor 586,Donor 587,no,OliveSeed Monthly Giving,Description 576,41.72,0.00,Description 577,41.72,USD,41.72,1.22,0.73,,1.95,39.77,39.77,39.77,yes,Donor 588,,01/07/24 08:18:26,,Address 351,Address 352,Menlo Park,CA,94025,United States,,,,37990570,stripe,visa,4902,ch_3OVz3OLpAglNISLQ10wpvBxV,,,yes,525934,2021-06-07,yes,,Name 350,Name 351,Email 119,Address 353,,,,Donor 589,paid,,
Name 352,Company 120,Donor 590,Donor 591,Donor 592,no,Kenya School Projects,Description 578,10.00,0.00,Description 579,10.00,USD,10.00,0.62,0.18,,0.80,9.20,9.20,9.20,no,Donor 593,,01/10/24 08:18:14,,Address 354,Address 355,Johannesburg,Gauteng,,South Africa,,,OliveSeed Kenya,38065954,stripe,mastercard,0994,ch_3OX4TqLpAglNISLQ1uFYFvIe,,,yes,544437,2021-07-10,no,,Name 353,Name 354,Email 120,Address 356,,,,Donor 594,paid,yes,
Name 355,Company 121,Donor 595,Donor 596,Donor 597,no,OliveSeed Monthly Giving,Description 580,5.49,0.00,Description 581,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Donor 598,,01/16/24 03:04:16,,Address 357,Address 358,West Tisbury,MA,02568,United States,,,,38203903,paypal,,,,0J883539N53511431,,yes,385997,2020-12-16,yes,,Name 356,Name 357,Email 121,Address 359,,,,Donor 599,paid,,
Name 358,Company 122,Donor 600,Donor 601,Donor 602,no,Oliveseed,Description 582,150.00,0.00,Description 583,150.00,USD,150.00,3.6,2.62,,6.22,143.78,143.78,143.78,no,Donor 603,,01/18/24 08:27:42,,Address 360,Address 361,,,,,,,Area of greatest need,38268847,stripe,visa,0693,ch_3OZyRPLpAglNISLQ1HTlsi20,,,yes,240611,2020-05-18,no,,Name 359,Name 360,Email 122,Address 362,,,,Donor 604,paid,,
Name 361,Company 123,Donor 605,Donor 606,Donor 607,no,Oliveseed,Description 584,53.00,0.00,Description 585,53.00,USD,53.00,1.47,0.93,,2.40,50.60,50.60,50.60,no,Donor 608,,01/23/24 08:24:22,,Address 363,Address 364,,,,,,,,38391704,stripe,visa,1435,ch_3ObmluLpAglNISLQ0M13U7KX,,,yes,66328,2018-10-22,yes,,Name 362,Name 363,Email 123,Address 365,,,,Donor 609,paid,,
Name 364,Company 124,Donor 610,Donor 611,Donor 612,no,Oliveseed General Campaign,Description 586,104.42,0.00,Description 587,104.42,USD,104.42,2.6,1.83,,4.43,99.99,99.99,99.99,yes,Donor 613,,02/03/24 21:01:03,,Address 366,Address 367,Carson,CA,90745,United States,,,,38717222,stripe,visa,5517,ch_3OfxpGLpAglNISLQ0HMm7AtM,,,no,,,yes,,Name 365,Name 366,Email 124,Address 368,,yes,,Donor 614,paid,,
Name 367,Company 125,Donor 615,Donor 616,Donor 617,no,Oliveseed General Campaign,Description 588,312.65,0.00,Description 589,312.65,USD,312.65,7.18,5.47,,12.65,300.00,300.00,300.00,yes,Donor 618,,02/05/24 12:33:53,,Address 369,Address 370,Pullman,WA,99163,United States,,,,38767401,stripe,visa,5749,ch_3OgYrYLpAglNISLQ0loymjph,,,yes,2353122,2024-02-05,yes,,Name 368,Name 369,Email 125,Address 371,,,,Donor 619,paid,,
Name 370,Company 126,Donor 620,Donor 621,Donor 622,no,OliveSeed Monthly Giving,Description 590,41.72,0.00,Description 591,41.72,USD,41.72,1.22,0.73,,1.95,39.77,39.77,39.77,yes,Donor 623,,02/07/24 08:17:25,,Address 372,Address 373,Menlo Park,CA,94025,United States,,,,38811051,stripe,visa,4902,ch_3OhDoQLpAglNISLQ0pkt2Vjh,,,yes,525934,2021-06-07,yes,,Name 371,Name 372,Email 126,Address 374,,,,Donor 624,paid,,
Name 373,Company 127,Donor 625,Donor 626,Donor 627,no,Oliveseed General Campaign,Description 592,50.00,0.00,Description 593,50.00,USD,50.00,1.75,0.88,,2.63,47.37,47.37,47.37,no,Donor 628,,02/14/24 13:55:22,,Address 375,Address 376,San Rafael,CA,94903,United States,,,,38998612,stripe,amex,2134,ch_3OjqQILpAglNISLQ1lezpoWN,,,no,,,no,,Name 374,Name 375,Email 127,Address 377,,yes,,Donor 629,paid,,
Name 376,Company 128,Donor 630,Donor 631,Donor 632,no,OliveSeed Monthly Giving,Description 594,5.49,0.00,Description 595,5.49,USD,5.49,0.6,,,0.60,4.89,,4.89,yes,Donor 633,,02/16/24 03:04:03,,Address 378,Address 379,West Tisbury,MA,02568,United States,,,,39031692,paypal,,,,3K291059X10981030,,yes,385997,2020-12-16,yes,,Name 377,Name 378,Email 128,Address 380,,,,Donor 634,paid,,
