Name,Donating Company,Donor's First Name,Donor's Last Name,Donor Email,Make Donation Anonymous,Campaign,Amount,Fair Market Value,Fair Market Value Description,Tax Deductible Amount,Currency,Amount in USD,Processing Fee,Platform Fee,Tax Fee,Total Fee,Net Amount,Converted Net Amount,Net amount in USD,Fee Covered,Donor Comment,Internal Notes,Donated At,Phone,Address,Address 2,City,State / Province,Postal Code,Country,Employer,Occupation,Designation,Receipt Id,Donation Type,Card Type,Last 4 Digits,Stripe Charge Id,Pay Pal Transaction Id,Pay Pal Capture Id,Recurring Donation,Recurring Plan Id,Recurring Start Date,Join Mailing List,First Donation,Fundraiser,Donor Id,Status,Would you like to receive occasional updates from us? You can unsubscribe at any time.
Name 907,Company 305,Donor 1515,Donor 1516,Donor 1517,no,Oliveseed General Campaign,522.24,0.00,Description 858,522.24,USD,522.24,11.79,10.44,,22.23,500.01,500.01,500.01,yes,Donor 1518,,01/02/26 13:22:49,,Address 909,Address 910,Palo Alto,CA,94306-1016,United States,,,,62465727,stripe,visa,1726,ch_3SlFo7LpAglNISLQ1HCxSweo,,,no,,,no,yes,,Donor 1519,paid,,
Name 908,Company 306,Donor 1520,Donor 1521,Donor 1522,no,Oliveseed General Campaign,1042.07,0.00,Description 859,1042.07,USD,1042.07,21.23,20.84,,42.07,1000.00,,1000.00,yes,Donor 1523,,01/13/26 21:03:25,,Address 911,Address 912,Palo Alto,CA,94301,United States,,,,62824058,paypal_express,,,,07C13893SB087860T,74K33874H1165392D,no,,,no,yes,,Donor 1524,paid,,
Name 909,Company 307,Donor 1525,Donor 1526,Donor 1527,no,Oliveseed General Campaign,5.54,0.00,Description 860,5.54,USD,5.54,0.42,0.11,,0.53,5.01,5.01,5.01,yes,Donor 1528,,01/15/26 09:04:41,,Address 913,Address 914,Sunnyvale,CA,94087,United States,,,,62879399,stripe,visa,3595,ch_3SptyQLpAglNISLQ1Z8EmC3l,,,yes,4989512,2025-12-15,yes,,,Donor 1529,paid,,
Name 910,Company 308,Donor 1530,Donor 1531,Donor 1532,no,Oliveseed,150.00,0.00,Description 861,150.00,USD,150.00,3.6,3.00,,6.60,143.40,143.40,143.40,no,Donor 1533,,01/18/26 08:17:17,,Address 915,Address 916,,,,,,,Area of greatest need,62966935,stripe,visa,0693,ch_3SqyfBLpAglNISLQ1VHRCzFj,,,yes,240611,2020-05-18,no,,,Donor 1534,paid,,
Name 911,Company 309,Donor 1535,Donor 1536,Donor 1537,no,Oliveseed,53.00,0.00,Description 862,53.00,USD,53.00,1.47,1.06,,2.53,50.47,50.47,50.47,no,Donor 1538,,01/23/26 08:07:45,,Address 917,Address 918,,,,,,,,63124853,stripe,visa,8905,ch_3SsmthLpAglNISLQ05wSCnYg,,,yes,66328,2018-10-22,yes,,,Donor 1539,paid,,
Name 912,Company 310,Donor 1540,Donor 1541,Donor 1542,no,Oliveseed General Campaign,150.00,0.00,Description 863,150.00,USD,150.00,3.6,3.00,,6.60,143.40,143.40,143.40,no,Donor 1543,,01/30/26 08:33:58,,Address 919,Address 920,,,,,,,,63384270,stripe,visa,0693,ch_3SvKduLpAglNISLQ1PpifKr6,,,yes,2591397,2024-04-30,yes,,,Donor 1544,paid,,
Name 913,Company 311,Donor 1545,Donor 1546,Donor 1547,no,Oliveseed General Campaign,5.54,0.00,Description 864,5.54,USD,5.54,0.42,0.11,,0.53,5.01,5.01,5.01,yes,Donor 1548,,02/15/26 08:48:43,,Address 921,Address 922,Sunnyvale,CA,94087,United States,,,,63991537,stripe,visa,3595,ch_3T18UxLpAglNISLQ2i9fhRQ8,,,yes,4989512,2025-12-15,yes,,,Donor 1549,paid,,
Name 914,Company 312,Donor 1550,Donor 1551,Donor 1552,no,Oliveseed General Campaign,104.67,0.00,Description 865,104.67,USD,104.67,2.57,2.09,,4.66,100.01,,100.01,yes,Donor 1553,,02/15/26 12:15:14,,Address 923,Address 924,San Francisco,CA,94104,United States,,,,63998567,paypal_express,,,,9G413575ND374164G,23C98470F2209711E,no,,,no,yes,,Donor 1554,paid,,
Name 915,Company 313,Donor 1555,Donor 1556,Donor 1557,no,Oliveseed General Campaign,149.64,0.00,Description 866,149.64,USD,149.64,3.59,2.99,,6.58,143.06,143.06,143.06,yes,Donor 1558,,02/16/26 12:28:54,,Address 925,Address 926,Olympia,WA,98506,United States,,,,64030602,stripe,mastercard,5491,ch_3T1YPaLpAglNISLQ0yR8gFYX,,,no,,,no,,,Donor 1559,paid,,
Name 916,Company 314,Donor 1560,Donor 1561,Donor 1562,no,Oliveseed,150.00,0.00,Description 867,150.00,USD,150.00,3.6,3.00,,6.60,143.40,143.40,143.40,no,Donor 1563,,02/18/26 08:11:57,,Address 927,Address 928,,,,,,,Area of greatest need,64084791,stripe,visa,0693,ch_3T2DM2LpAglNISLQ1lWTrLi4,,,yes,240611,2020-05-18,no,,,Donor 1564,paid,,
