[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1580,01/03/2023,Bloom1068,Name 920,200.00,,Jim Mackraz,01/04/2023 12:33:05 AM,OliveSeed Fdn - Operations
Donor 1581,01/03/2023,Bloom1069,Name 921,300.00,,Jim Mackraz,01/04/2023 12:33:06 AM,OliveSeed Fdn - Operations
Donor 1582,01/03/2023,Bloom1070,Name 922,"2,168.09",,Jim Mackraz,01/03/2023 04:00:00 PM,KCA
Donor 1583,01/05/2023,Bloom1071,Name 923,240.71,,Jim Mackraz,01/06/2023 12:33:40 AM,Kenya Region
Donor 1584,01/07/2023,Bloom1082,Name 924,39.87,,Jim Mackraz,01/29/2023 12:37:25 AM,OliveSeed Fdn - Operations
Donor 1585,01/10/2023,Bloom1083,Name 925,9.23,,Jim Mackraz,01/29/2023 12:37:25 AM,School Projects
Donor 1586,01/13/2023,Bloom1089,Name 926,"2,000.00",,Jim Mackraz,01/30/2023 12:28:45 AM,School Projects
Donor 1587,01/14/2023,Bloom1072,Name 927,"3,900.00",,Jim Mackraz,01/15/2023 12:23:40 AM,Clean Water Project
Donor 1588,01/16/2023,Bloom1084,Name 928,4.89,,Jim Mackraz,01/29/2023 12:37:25 AM,OliveSeed Fdn - Operations
Donor 1589,01/17/2023,Bloom1127,Name 929,48.55,,Jim Mackraz,03/04/2023 12:24:29 AM,OliveSeed Fdn - Operations
Donor 1590,01/18/2023,Bloom1074,Name 930,392.00,,Jim Mackraz,01/19/2023 12:31:38 AM,Kenya Region
Donor 1591,01/18/2023,Bloom1085,Name 931,144.15,,Jim Mackraz,01/29/2023 12:37:26 AM,OliveSeed Fdn - Operations
Donor 1592,01/19/2023,Bloom1075,Name 932,"2,000.00",,Jim Mackraz,01/20/2023 12:33:19 AM,OliveSeed Fdn - Operations
Donor 1593,01/23/2023,Bloom1086,Name 933,99.49,,Jim Mackraz,01/29/2023 12:37:26 AM,OliveSeed Fdn - Operations
Donor 1594,01/25/2023,Bloom1091,Name 934,"1,250.40",,Jim Mackraz,02/02/2023 12:31:43 AM,Clean Water Project
Donor 1595,01/27/2023,Bloom1087,Name 935,310.43,,Jim Mackraz,01/29/2023 12:37:26 AM,MLP
Donor 1596,01/29/2023,Bloom1096,Name 936,96.02,,Jim Mackraz,02/12/2023 12:34:44 AM,MLP
Donor 1597,01/31/2023,Bloom1090,Name 937,800.00,,Jim Mackraz,02/01/2023 12:35:15 AM,Scholars
Donor 1598,02/02/2023,Bloom1095,Name 938,700.00,,Jim Mackraz,02/08/2023 12:24:45 AM,Scholars
Donor 1599,02/07/2023,Bloom1094,Name 939,550.00,,Jim Mackraz,02/08/2023 12:24:44 AM,Scholars
Donor 1600,02/07/2023,Bloom1097,Name 940,39.87,,Jim Mackraz,02/12/2023 12:34:45 AM,OliveSeed Fdn - Operations
Donor 1601,02/08/2023,Bloom1098,Name 941,300.00,,Jim Mackraz,02/12/2023 12:34:45 AM,OliveSeed Fdn - Operations
Donor 1602,02/10/2023,Bloom1099,Name 942,9.23,,Jim Mackraz,02/12/2023 12:34:45 AM,School Projects
Donor 1603,02/13/2023,Bloom1134,Name 943,19.94,,Jim Mackraz,03/13/2023 05:00:41 PM,OliveSeed Fdn - Operations
Donor 1604,02/16/2023,Bloom1111,Name 944,4.89,,Jim Mackraz,03/04/2023 12:24:22 AM,OliveSeed Fdn - Operations
Donor 1605,02/18/2023,Bloom1112,Name 945,144.15,,Jim Mackraz,03/04/2023 12:24:23 AM,OliveSeed Fdn - Operations
Donor 1606,02/21/2023,Bloom1100,Name 946,680.00,,Jim Mackraz,02/22/2023 12:28:37 AM,Scholars
Donor 1607,02/21/2023,Bloom1101,Name 947,"1,700.00",,Jim Mackraz,02/22/2023 12:28:38 AM,Scholars
Donor 1608,02/21/2023,Bloom1102,Name 948,"1,000.00",,Jim Mackraz,02/22/2023 12:28:38 AM,Writing and Publishing
Donor 1609,02/21/2023,Bloom1113,Name 949,96.02,,Jim Mackraz,03/04/2023 12:24:23 AM,OliveSeed Fdn - Operations
Donor 1610,02/22/2023,Bloom1103,Name 950,80.00,,Jim Mackraz,02/23/2023 12:37:02 AM,Kenya Region
Donor 1611,02/22/2023,Bloom1104,Name 951,40.00,,Jim Mackraz,02/23/2023 12:37:02 AM,OliveSeed Fdn - Operations
Donor 1612,02/23/2023,Bloom1114,Name 952,99.49,,Jim Mackraz,03/04/2023 12:24:23 AM,OliveSeed Fdn - Operations
Donor 1613,02/25/2023,Bloom1115,Name 953,144.15,,Jim Mackraz,03/04/2023 12:24:24 AM,OliveSeed Fdn - Operations
Donor 1614,02/25/2023,Bloom1116,Name 954,96.02,,Jim Mackraz,03/04/2023 12:24:24 AM,OliveSeed Fdn - Operations
Donor 1615,02/26/2023,Bloom1105,Name 955,360.00,,Jim Mackraz,02/27/2023 12:23:56 AM,OliveSeed Fdn - Operations
Donor 1616,02/26/2023,Bloom1106,Name 956,40.00,,Jim Mackraz,02/27/2023 12:23:56 AM,OliveSeed Fdn - Operations
Donor 1617,02/26/2023,Bloom1107,Name 957,80.00,,Jim Mackraz,02/27/2023 12:23:57 AM,OliveSeed Fdn - Operations
Donor 1618,02/26/2023,Bloom1108,Name 958,40.00,,Jim Mackraz,02/27/2023 12:23:57 AM,OliveSeed Fdn - Operations
Donor 1619,02/26/2023,Bloom1109,Name 959,40.00,,Jim Mackraz,02/27/2023 12:23:58 AM,OliveSeed Fdn - Operations
Donor 1620,02/26/2023,Bloom1110,Name 960,240.00,,Jim Mackraz,02/27/2023 12:23:58 AM,OliveSeed Fdn - Operations
Donor 1621,02/26/2023,Bloom1117,Name 961,9.33,,Jim Mackraz,03/04/2023 12:24:25 AM,OliveSeed Fdn - Operations
Donor 1622,02/26/2023,Bloom1118,Name 962,100.00,,Jim Mackraz,03/04/2023 12:24:25 AM,OliveSeed Fdn - Operations
Donor 1623,02/26/2023,Bloom1119,Name 963,96.00,,Jim Mackraz,03/04/2023 12:24:25 AM,OliveSeed Fdn - Operations
