id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group,donorbox_address_line_2 (metadata),donorbox_country (metadata),donorbox_idempotency_key (metadata),donorbox_gift_aid (metadata),donorbox_plan_interval (metadata),donorbox_donation_type (metadata),donorbox_form_id (metadata),donorbox_postal_code (metadata),donorbox_state (metadata),donorbox_city (metadata),donorbox_address (metadata),donorbox_donor_id (metadata),donorbox_recurring_donation (metadata),donorbox_name (metadata),donorbox_last_name (metadata),donorbox_first_recurring_charge (metadata),donorbox_first_name (metadata),donorbox_email (metadata),donorbox_designation (metadata),donorbox_campaign (metadata)
txn_1RgFGkLpAglNISLQVegO8bP7,payout,po_1RgFGkLpAglNISLQ6BCUOLM9,-478.70,0.00,,,-478.70,usd,2025-07-02 01:15,2025-07-03 00:00,STRIPE PAYOUT,,,po_1RgFGkLpAglNISLQ6BCUOLM9,2025-07-03 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3Rg7YaLpAglNISLQ1I0S89IZ,charge,ch_3Rg7YaLpAglNISLQ1wMzh8Ee,500.00,21.30,,,478.70,usd,2025-07-01 17:01,2025-07-03 00:00,Description 871,500.00,usd,po_1RgFGkLpAglNISLQ6BCUOLM9,2025-07-03 00:00,,Donor 2254,Donor 2255,Donor 2256,Donor 2257,Donor 2258,Donor 2259,Donor 2260,Donor 2261,Donor 2262,Donor 2263,Donor 2264,Donor 2265,Donor 2266,Donor 2267,Donor 2268,Donor 2269,Donor 2270,Donor 2271,Donor 2272,Donor 2273
txn_1RfsoGLpAglNISLQV5DAQQAx,payout,po_1RfsoFLpAglNISLQbo3PG6yD,-974.16,0.00,,,-974.16,usd,2025-07-01 01:16,2025-07-02 00:00,STRIPE PAYOUT,,,po_1RfsoFLpAglNISLQbo3PG6yD,2025-07-02 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RflEKLpAglNISLQ0hHj26ST,charge,ch_3RflEKLpAglNISLQ0VdnLbFR,150.00,6.60,,,143.40,usd,2025-06-30 17:10,2025-07-02 00:00,Description 872,150.00,usd,po_1RfsoFLpAglNISLQbo3PG6yD,2025-07-02 00:00,,Donor 2274,Donor 2275,Donor 2276,Donor 2277,Donor 2278,Donor 2279,Donor 2280,Donor 2281,Donor 2282,Donor 2283,Donor 2284,Donor 2285,Donor 2286,Donor 2287,Donor 2288,Donor 2289,Donor 2290,Donor 2291,Donor 2292,Donor 2293
txn_3RfeMMLpAglNISLQ1GHVg0uJ,charge,ch_3RfeMMLpAglNISLQ1iF7d6dp,100.00,5.50,,,94.50,usd,2025-06-30 09:50,2025-07-02 00:00,Description 873,100.00,usd,po_1RfsoFLpAglNISLQbo3PG6yD,2025-07-02 00:00,,Donor 2294,Donor 2295,Donor 2296,Donor 2297,Donor 2298,Donor 2299,Donor 2300,Donor 2301,Donor 2302,Donor 2303,Donor 2304,Donor 2305,Donor 2306,Donor 2307,Donor 2308,Donor 2309,Donor 2310,Donor 2311,Donor 2312,Donor 2313
txn_3RfeKzLpAglNISLQ1ph9Nxq9,charge,ch_3RfeKzLpAglNISLQ1F4WtNPM,522.24,22.23,,,500.01,usd,2025-06-30 09:49,2025-07-02 00:00,Description 874,522.24,usd,po_1RfsoFLpAglNISLQbo3PG6yD,2025-07-02 00:00,,Donor 2314,Donor 2315,Donor 2316,Donor 2317,Donor 2318,Donor 2319,Donor 2320,Donor 2321,Donor 2322,Donor 2323,Donor 2324,Donor 2325,Donor 2326,Donor 2327,Donor 2328,Donor 2329,Donor 2330,Donor 2331,Donor 2332,Donor 2333
txn_3RfeHmLpAglNISLQ1pZ7Z2sa,charge,ch_3RfeHmLpAglNISLQ1QjUf97P,250.00,13.75,,,236.25,usd,2025-06-30 09:46,2025-07-02 00:00,Description 875,250.00,usd,po_1RfsoFLpAglNISLQbo3PG6yD,2025-07-02 00:00,,Donor 2334,Donor 2335,Donor 2336,Donor 2337,Donor 2338,Donor 2339,Donor 2340,Donor 2341,Donor 2342,Donor 2343,Donor 2344,Donor 2345,Donor 2346,Donor 2347,Donor 2348,Donor 2349,Donor 2350,Donor 2351,Donor 2352,Donor 2353
txn_1RdLWjLpAglNISLQdtljNTk6,payout,po_1RdLWjLpAglNISLQrpTf4lgq,-50.47,0.00,,,-50.47,usd,2025-06-24 01:19,2025-06-25 00:00,STRIPE PAYOUT,,,po_1RdLWjLpAglNISLQrpTf4lgq,2025-06-25 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RdD5lLpAglNISLQ0OoTH2jw,charge,ch_3RdD5lLpAglNISLQ00r5WXXI,53.00,2.53,,,50.47,usd,2025-06-23 16:19,2025-06-25 00:00,Description 876,53.00,usd,po_1RdLWjLpAglNISLQrpTf4lgq,2025-06-25 00:00,,Donor 2354,Donor 2355,Donor 2356,Donor 2357,Donor 2358,Donor 2359,Donor 2360,Donor 2361,Donor 2362,Donor 2363,Donor 2364,Donor 2365,Donor 2366,Donor 2367,Donor 2368,Donor 2369,Donor 2370,Donor 2371,Donor 2372,Donor 2373
txn_1RccZgLpAglNISLQptadKRwW,payout,po_1RccZfLpAglNISLQ2falxJE5,-143.40,0.00,,,-143.40,usd,2025-06-22 01:19,2025-06-23 00:00,STRIPE PAYOUT,,,po_1RccZfLpAglNISLQ2falxJE5,2025-06-23 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RbOYVLpAglNISLQ1X966zhv,charge,ch_3RbOYVLpAglNISLQ1x5nDTgs,150.00,6.60,,,143.40,usd,2025-06-18 16:09,2025-06-23 00:00,Description 877,150.00,usd,po_1RccZfLpAglNISLQ2falxJE5,2025-06-23 00:00,,Donor 2374,Donor 2375,Donor 2376,Donor 2377,Donor 2378,Donor 2379,Donor 2380,Donor 2381,Donor 2382,Donor 2383,Donor 2384,Donor 2385,Donor 2386,Donor 2387,Donor 2388,Donor 2389,Donor 2390,Donor 2391,Donor 2392,Donor 2393
txn_1RaoD9LpAglNISLQyKqMiyvp,payout,po_1RaoD8LpAglNISLQoMNVtqah,-335.00,0.00,,,-335.00,usd,2025-06-17 01:21,2025-06-18 00:00,STRIPE PAYOUT,,,po_1RaoD8LpAglNISLQoMNVtqah,2025-06-18 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RaYR9LpAglNISLQ0O269N26,charge,ch_3RaYR9LpAglNISLQ0ZGEn3E4,350.00,15.00,,,335.00,usd,2025-06-16 08:30,2025-06-18 00:00,Description 878,350.00,usd,po_1RaoD8LpAglNISLQoMNVtqah,2025-06-18 00:00,,Donor 2394,Donor 2395,Donor 2396,Donor 2397,Donor 2398,Donor 2399,Donor 2400,Donor 2401,Donor 2402,Donor 2403,Donor 2404,Donor 2405,Donor 2406,Donor 2407,Donor 2408,Donor 2409,Donor 2410,Donor 2411,Donor 2412,Donor 2413
txn_1RXXeILpAglNISLQVcYMDJ8x,payout,po_1RXXeILpAglNISLQD2F7AbUV,-47.25,0.00,,,-47.25,usd,2025-06-08 01:03,2025-06-09 00:00,STRIPE PAYOUT,,,po_1RXXeILpAglNISLQD2F7AbUV,2025-06-09 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RWmtzLpAglNISLQ1WGPeFq3,charge,ch_3RWmtzLpAglNISLQ1JSExbfW,50.00,2.75,,,47.25,usd,2025-06-05 23:08,2025-06-09 00:00,Description 879,50.00,usd,po_1RXXeILpAglNISLQD2F7AbUV,2025-06-09 00:00,,Donor 2414,Donor 2415,Donor 2416,Donor 2417,Donor 2418,Donor 2419,Donor 2420,Donor 2421,Donor 2422,Donor 2423,Donor 2424,Donor 2425,Donor 2426,Donor 2427,Donor 2428,Donor 2429,Donor 2430,Donor 2431,Donor 2432,Donor 2433
txn_1RVMsILpAglNISLQs0vwtEET,payout,po_1RVMsILpAglNISLQT2ClOkST,-143.40,0.00,,,-143.40,usd,2025-06-02 01:09,2025-06-03 00:00,STRIPE PAYOUT,,,po_1RVMsILpAglNISLQT2ClOkST,2025-06-03 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RUVtyLpAglNISLQ0h11kHFl,charge,ch_3RUVtyLpAglNISLQ09A8vBUi,150.00,6.60,,,143.40,usd,2025-05-30 16:35,2025-06-03 00:00,Description 880,150.00,usd,po_1RVMsILpAglNISLQT2ClOkST,2025-06-03 00:00,,Donor 2434,Donor 2435,Donor 2436,Donor 2437,Donor 2438,Donor 2439,Donor 2440,Donor 2441,Donor 2442,Donor 2443,Donor 2444,Donor 2445,Donor 2446,Donor 2447,Donor 2448,Donor 2449,Donor 2450,Donor 2451,Donor 2452,Donor 2453
txn_1RTYbALpAglNISLQkQrJomw5,payout,po_1RTYbALpAglNISLQ6D2qrQXH,-98.95,0.00,,,-98.95,usd,2025-05-28 01:16,2025-05-29 00:00,STRIPE PAYOUT,,,po_1RTYbALpAglNISLQ6D2qrQXH,2025-05-29 00:00,,,,,,,,,,,,,,,,,,,,,
txn_1RTCAHLpAglNISLQsnghtoZl,payout,po_1RTCAHLpAglNISLQrC0ottcf,-50.47,0.00,,,-50.47,usd,2025-05-27 01:18,2025-05-28 00:00,STRIPE PAYOUT,,,po_1RTCAHLpAglNISLQrC0ottcf,2025-05-28 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RSvWELpAglNISLQ0Nf69zFh,charge,ch_3RSvWELpAglNISLQ0k7DLgML,104.70,5.75,,,98.95,usd,2025-05-26 07:32,2025-05-29 00:00,Description 881,104.70,usd,po_1RTYbALpAglNISLQ6D2qrQXH,2025-05-29 00:00,,Donor 2454,Donor 2455,Donor 2456,Donor 2457,Donor 2458,Donor 2459,Donor 2460,Donor 2461,Donor 2462,Donor 2463,Donor 2464,Donor 2465,Donor 2466,Donor 2467,Donor 2468,Donor 2469,Donor 2470,Donor 2471,Donor 2472,Donor 2473
txn_3RRyI9LpAglNISLQ1s4E6lrX,charge,ch_3RRyI9LpAglNISLQ1ZDFd5iG,53.00,2.53,,,50.47,usd,2025-05-23 16:17,2025-05-28 00:00,Description 882,53.00,usd,po_1RTCAHLpAglNISLQrC0ottcf,2025-05-28 00:00,,Donor 2474,Donor 2475,Donor 2476,Donor 2477,Donor 2478,Donor 2479,Donor 2480,Donor 2481,Donor 2482,Donor 2483,Donor 2484,Donor 2485,Donor 2486,Donor 2487,Donor 2488,Donor 2489,Donor 2490,Donor 2491,Donor 2492,Donor 2493
txn_1RQeeZLpAglNISLQeh5v31BX,payout,po_1RQeeYLpAglNISLQLT6n37Yx,-143.40,0.00,,,-143.40,usd,2025-05-20 01:07,2025-05-21 00:00,STRIPE PAYOUT,,,po_1RQeeYLpAglNISLQLT6n37Yx,2025-05-21 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RQ9kLLpAglNISLQ0piw7qp3,charge,ch_3RQ9kLLpAglNISLQ0muijMGT,150.00,6.60,,,143.40,usd,2025-05-18 16:07,2025-05-21 00:00,Description 883,150.00,usd,po_1RQeeYLpAglNISLQLT6n37Yx,2025-05-21 00:00,,Donor 2494,Donor 2495,Donor 2496,Donor 2497,Donor 2498,Donor 2499,Donor 2500,Donor 2501,Donor 2502,Donor 2503,Donor 2504,Donor 2505,Donor 2506,Donor 2507,Donor 2508,Donor 2509,Donor 2510,Donor 2511,Donor 2512,Donor 2513
txn_1RLa8VLpAglNISLQVl1BejJd,payout,po_1RLa8ULpAglNISLQE3HUK7Dq,-992.25,0.00,,,-992.25,usd,2025-05-06 01:17,2025-05-07 00:00,STRIPE PAYOUT,,,po_1RLa8ULpAglNISLQE3HUK7Dq,2025-05-07 00:00,,,,,,,,,,,,,,,,,,,,,
txn_1RKr42LpAglNISLQLhriJcte,payout,po_1RKr42LpAglNISLQbEs45m85,-49.62,0.00,,,-49.62,usd,2025-05-04 01:09,2025-05-05 00:00,STRIPE PAYOUT,,,po_1RKr42LpAglNISLQbEs45m85,2025-05-05 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RKhWILpAglNISLQ1f9fhbLY,charge,ch_3RKhWILpAglNISLQ12fZEFoX,1050.00,57.75,,,992.25,usd,2025-05-03 14:58,2025-05-07 00:00,Description 884,1050.00,usd,po_1RLa8ULpAglNISLQE3HUK7Dq,2025-05-07 00:00,,Donor 2514,Donor 2515,Donor 2516,Donor 2517,Donor 2518,Donor 2519,Donor 2520,Donor 2521,Donor 2522,Donor 2523,Donor 2524,Donor 2525,Donor 2526,Donor 2527,Donor 2528,Donor 2529,Donor 2530,Donor 2531,Donor 2532,Donor 2533
txn_3RJnRTLpAglNISLQ0JtLOt65,charge,ch_3RJnRTLpAglNISLQ0ao06qje,52.51,2.89,,,49.62,usd,2025-05-01 03:05,2025-05-05 00:00,Description 885,52.51,usd,po_1RKr42LpAglNISLQbEs45m85,2025-05-05 00:00,,Donor 2534,Donor 2535,Donor 2536,Donor 2537,Donor 2538,Donor 2539,Donor 2540,Donor 2541,Donor 2542,Donor 2543,Donor 2544,Donor 2545,Donor 2546,Donor 2547,Donor 2548,Donor 2549,Donor 2550,Donor 2551,Donor 2552,Donor 2553
txn_1RJlVALpAglNISLQeKroaCYG,payout,po_1RJlV9LpAglNISLQURJFBTo6,-143.40,0.00,,,-143.40,usd,2025-05-01 01:01,2025-05-02 00:00,STRIPE PAYOUT,,,po_1RJlV9LpAglNISLQURJFBTo6,2025-05-02 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RJdgMLpAglNISLQ17g11WLg,charge,ch_3RJdgMLpAglNISLQ1NnGUc4p,150.00,6.60,,,143.40,usd,2025-04-30 16:40,2025-05-02 00:00,Description 886,150.00,usd,po_1RJlV9LpAglNISLQURJFBTo6,2025-05-02 00:00,,Donor 2554,Donor 2555,Donor 2556,Donor 2557,Donor 2558,Donor 2559,Donor 2560,Donor 2561,Donor 2562,Donor 2563,Donor 2564,Donor 2565,Donor 2566,Donor 2567,Donor 2568,Donor 2569,Donor 2570,Donor 2571,Donor 2572,Donor 2573
txn_1RJPAiLpAglNISLQMsLEVQiN,payout,po_1RJPAhLpAglNISLQwlXjVZxN,-47.60,0.00,,,-47.60,usd,2025-04-30 01:10,2025-05-01 00:00,STRIPE PAYOUT,,,po_1RJPAhLpAglNISLQwlXjVZxN,2025-05-01 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RJJxdLpAglNISLQ0yEO51Su,charge,ch_3RJJxdLpAglNISLQ0OWZky3f,50.00,2.40,,,47.60,usd,2025-04-29 19:36,2025-05-01 00:00,Description 887,50.00,usd,po_1RJPAhLpAglNISLQwlXjVZxN,2025-05-01 00:00,,Donor 2574,Donor 2575,Donor 2576,Donor 2577,Donor 2578,Donor 2579,Donor 2580,Donor 2581,Donor 2582,Donor 2583,Donor 2584,Donor 2585,Donor 2586,Donor 2587,Donor 2588,Donor 2589,Donor 2590,Donor 2591,Donor 2592,Donor 2593
txn_1RJ2jhLpAglNISLQqKsVkNKv,payout,po_1RJ2jgLpAglNISLQuG0gjuhb,-1196.90,0.00,,,-1196.90,usd,2025-04-29 01:13,2025-04-30 00:00,STRIPE PAYOUT,,,po_1RJ2jgLpAglNISLQuG0gjuhb,2025-04-30 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RItYdLpAglNISLQ1QVG4t9V,charge,ch_3RItYdLpAglNISLQ1xF7lQ7L,250.00,10.80,,,239.20,usd,2025-04-28 15:25,2025-04-30 00:00,Description 888,250.00,usd,po_1RJ2jgLpAglNISLQuG0gjuhb,2025-04-30 00:00,,Donor 2594,Donor 2595,Donor 2596,Donor 2597,Donor 2598,Donor 2599,Donor 2600,Donor 2601,Donor 2602,Donor 2603,Donor 2604,Donor 2605,Donor 2606,Donor 2607,Donor 2608,Donor 2609,Donor 2610,Donor 2611,Donor 2612,Donor 2613
txn_1RIJgHLpAglNISLQGp7vjlPk,payout,po_1RIJgGLpAglNISLQYeIi0PTD,-287.10,0.00,,,-287.10,usd,2025-04-27 01:06,2025-04-28 00:00,STRIPE PAYOUT,,,po_1RIJgGLpAglNISLQYeIi0PTD,2025-04-28 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RIHBTLpAglNISLQ1bAJnWjk,charge,ch_3RIHBTLpAglNISLQ1pkdcjgT,1000.00,42.30,,,957.70,usd,2025-04-26 22:26,2025-04-30 00:00,Description 889,1000.00,usd,po_1RJ2jgLpAglNISLQuG0gjuhb,2025-04-30 00:00,,Donor 2614,Donor 2615,Donor 2616,Donor 2617,Donor 2618,Donor 2619,Donor 2620,Donor 2621,Donor 2622,Donor 2623,Donor 2624,Donor 2625,Donor 2626,Donor 2627,Donor 2628,Donor 2629,Donor 2630,Donor 2631,Donor 2632,Donor 2633
txn_3RHUT2LpAglNISLQ1NzfWN1P,charge,ch_3RHUT2LpAglNISLQ1FoBGiUR,300.00,12.90,,,287.10,usd,2025-04-24 18:25,2025-04-28 00:00,Description 890,300.00,usd,po_1RIJgGLpAglNISLQYeIi0PTD,2025-04-28 00:00,,Donor 2634,Donor 2635,Donor 2636,Donor 2637,Donor 2638,Donor 2639,Donor 2640,Donor 2641,Donor 2642,Donor 2643,Donor 2644,Donor 2645,Donor 2646,Donor 2647,Donor 2648,Donor 2649,Donor 2650,Donor 2651,Donor 2652,Donor 2653
txn_1RHEBULpAglNISLQztfqvteX,payout,po_1RHEBTLpAglNISLQjrryhJRl,-50.47,0.00,,,-50.47,usd,2025-04-24 01:02,2025-04-25 00:00,STRIPE PAYOUT,,,po_1RHEBTLpAglNISLQjrryhJRl,2025-04-25 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RH61wLpAglNISLQ1lmHX0Ho,charge,ch_3RH61wLpAglNISLQ1Y3dxwq3,53.00,2.53,,,50.47,usd,2025-04-23 16:20,2025-04-25 00:00,Description 891,53.00,usd,po_1RHEBTLpAglNISLQjrryhJRl,2025-04-25 00:00,,Donor 2654,Donor 2655,Donor 2656,Donor 2657,Donor 2658,Donor 2659,Donor 2660,Donor 2661,Donor 2662,Donor 2663,Donor 2664,Donor 2665,Donor 2666,Donor 2667,Donor 2668,Donor 2669,Donor 2670,Donor 2671,Donor 2672,Donor 2673
txn_1RG8l0LpAglNISLQnj6Y9Jk2,payout,po_1RG8kzLpAglNISLQCMZkuCfX,-143.40,0.00,,,-143.40,usd,2025-04-21 01:02,2025-04-22 00:00,STRIPE PAYOUT,,,po_1RG8kzLpAglNISLQCMZkuCfX,2025-04-22 00:00,,,,,,,,,,,,,,,,,,,,,
txn_1RFmPqLpAglNISLQxZRE0bae,payout,po_1RFmPqLpAglNISLQOph6BDFV,-191.30,0.00,,,-191.30,usd,2025-04-20 01:11,2025-04-21 00:00,STRIPE PAYOUT,,,po_1RFmPqLpAglNISLQOph6BDFV,2025-04-21 00:00,,,,,,,,,,,,,,,,,,,,,
txn_3RFHYGLpAglNISLQ0QaXEOxZ,charge,ch_3RFHYGLpAglNISLQ0BYOQTkT,150.00,6.60,,,143.40,usd,2025-04-18 16:14,2025-04-22 00:00,Description 892,150.00,usd,po_1RG8kzLpAglNISLQCMZkuCfX,2025-04-22 00:00,,Donor 2674,Donor 2675,Donor 2676,Donor 2677,Donor 2678,Donor 2679,Donor 2680,Donor 2681,Donor 2682,Donor 2683,Donor 2684,Donor 2685,Donor 2686,Donor 2687,Donor 2688,Donor 2689,Donor 2690,Donor 2691,Donor 2692,Donor 2693
txn_3REgyMLpAglNISLQ0JjNrEYm,charge,ch_3REgyMLpAglNISLQ0mMGrv4i,200.00,8.70,,,191.30,usd,2025-04-17 01:10,2025-04-21 00:00,Description 893,200.00,usd,po_1RFmPqLpAglNISLQOph6BDFV,2025-04-21 00:00,,Donor 2694,Donor 2695,Donor 2696,Donor 2697,Donor 2698,Donor 2699,Donor 2700,Donor 2701,Donor 2702,Donor 2703,Donor 2704,Donor 2705,Donor 2706,Donor 2707,Donor 2708,Donor 2709,Donor 2710,Donor 2711,Donor 2712,Donor 2713
